problem,heuristic,robots,docks,containers,piles,success_rate,avg_solve_time,std_solve_time,avg_plan_length,std_plan_length
easy_4,gbfs_ff,1,3,4,3,1.0,0.221389373143514,0.012231260985860122,7,0.0
easy_4,gbfs_hadd,1,3,4,3,1.0,0.2122042179107666,0.0007965591488279157,7,0.0
easy_4,gbfs_hmax,1,3,4,3,1.0,0.2157588799794515,0.0014597690565340828,7,0.0
easy_4,gbfs_cg,1,3,4,3,1.0,0.21478398640950522,0.0010288789166666686,7,0.0
easy_4,gbfs_cea,1,3,4,3,1.0,0.21242173512776694,0.00047865107357249745,7,0.0
easy_4,gbfs_lmcut,1,3,4,3,1.0,0.2130433718363444,0.001202860301671871,7,0.0
easy_4,gbfs_blind,1,3,4,3,1.0,0.21254801750183105,0.0011611665523635056,7,0.0
easy_6,gbfs_ff,1,4,6,4,1.0,0.31487568219502765,0.02318368074529504,7,0.0
easy_6,gbfs_hadd,1,4,6,4,1.0,0.29266707102457684,0.0011630864067884764,7,0.0
easy_6,gbfs_hmax,1,4,6,4,1.0,0.2939899762471517,0.0013140366033163537,7,0.0
easy_6,gbfs_cg,1,4,6,4,1.0,0.29709307352701825,0.005304534627969742,7,0.0
easy_6,gbfs_cea,1,4,6,4,1.0,0.2986503442128499,0.009882989353143416,7,0.0
easy_6,gbfs_lmcut,1,4,6,4,1.0,0.3108056386311849,0.017453286605556787,7,0.0
easy_6,gbfs_blind,1,4,6,4,1.0,0.30150000254313153,0.007516089851863609,7,0.0
medium_8,gbfs_ff,2,4,8,4,1.0,0.47873377799987793,0.010163577856974521,6,0.0
medium_8,gbfs_hadd,2,4,8,4,1.0,0.4799629847208659,0.007706038252482058,6,0.0
medium_8,gbfs_hmax,2,4,8,4,1.0,0.4743966261545817,0.012552087415392052,6,0.0
medium_8,gbfs_cg,2,4,8,4,1.0,0.4798425833384196,0.02097463723825649,6,0.0
medium_8,gbfs_cea,2,4,8,4,1.0,0.4615112940470378,0.0018571609110330978,6,0.0
medium_8,gbfs_lmcut,2,4,8,4,1.0,0.460954745610555,0.0014123463915876803,6,0.0
medium_8,gbfs_blind,2,4,8,4,1.0,0.4688714345296224,0.012302748103902781,6,0.0
medium_10,gbfs_ff,2,5,10,5,1.0,0.6999327341715494,0.0014176628006917146,6,0.0
medium_10,gbfs_hadd,2,5,10,5,1.0,0.6984824339548746,0.0009645058035396732,6,0.0
medium_10,gbfs_hmax,2,5,10,5,1.0,0.6981539726257324,0.00093738826902404,6,0.0
medium_10,gbfs_cg,2,5,10,5,1.0,0.6996897061665853,0.0015695996364601895,6,0.0
medium_10,gbfs_cea,2,5,10,5,1.0,0.7107280095418295,0.022833875639676107,6,0.0
medium_10,gbfs_lmcut,2,5,10,5,1.0,0.6991459528605143,0.0018901740496033276,6,0.0
medium_10,gbfs_blind,2,5,10,5,1.0,0.6975959142049154,0.000200286412448658,6,0.0
medium_12,gbfs_ff,2,6,12,6,1.0,1.0653849442799885,0.022646061607476974,6,0.0
medium_12,gbfs_hadd,2,6,12,6,1.0,1.055849313735962,0.002010259853242335,6,0.0
medium_12,gbfs_hmax,2,6,12,6,1.0,1.0535733699798584,0.0017087791889930234,6,0.0
medium_12,gbfs_cg,2,6,12,6,1.0,1.052539587020874,0.0006268125107378769,6,0.0
medium_12,gbfs_cea,2,6,12,6,1.0,1.0619163513183594,0.014353421562473953,6,0.0
medium_12,gbfs_lmcut,2,6,12,6,1.0,1.1501356760660808,0.021412798377912913,6,0.0
medium_12,gbfs_blind,2,6,12,6,1.0,1.0909411112467449,0.0037412034340004716,6,0.0
hard_14,gbfs_ff,3,6,14,6,1.0,1.8143053849538167,0.012517154475096763,16,0.0
hard_14,gbfs_hadd,3,6,14,6,1.0,1.8011008103688557,0.019275816813134002,16,0.0
hard_14,gbfs_hmax,3,6,14,6,1.0,1.7748109499613445,0.023595804609316554,16,0.0
hard_14,gbfs_cg,3,6,14,6,1.0,1.8252929051717122,0.06124347538624612,16,0.0
hard_14,gbfs_cea,3,6,14,6,1.0,1.8417043685913086,0.06459688394587994,16,0.0
hard_14,gbfs_lmcut,3,6,14,6,1.0,1.7590395609537761,0.0015900911755604374,16,0.0
hard_14,gbfs_blind,3,6,14,6,1.0,1.7947410742441814,0.03286190159361103,16,0.0
