problem,algorithm,description,plan_length,solve_time,states_explored,states_generated,search_depth,branching_factor,search_efficiency,dead_end_states,duplicate_states,state_space_density,goal_distance,success_rate,state_space_size,log_state_space
easy_4,gbfs_ff,Greedy Best-First (FF),7.0,0.22225173314412436,292,876,14.0,1.5000259597339884,0.023972602739726026,58,262,0.07510288065843622,7.0,1.0,3888,3.589726256254237
easy_4,gbfs_hadd,Greedy Best-First (hAdd),7.0,0.21590129534403482,285,855,14.0,1.497428385503936,0.02456140350877193,57,256,0.07330246913580248,7.0,1.0,3888,3.589726256254237
easy_4,gbfs_hmax,Greedy Best-First (hMax),7.0,0.21707765261332193,287,861,14.0,1.4981765416159618,0.024390243902439025,57,258,0.07381687242798354,7.0,1.0,3888,3.589726256254237
easy_4,astar_ff,A* (FF),7.0,0.21503456433614096,285,855,14.0,1.497428385503936,0.02456140350877193,57,256,0.07330246913580248,7.0,1.0,3888,3.589726256254237
easy_4,astar_hadd,A* (hAdd),7.0,0.21434410413106283,284,852,14.0,1.4970524774032332,0.02464788732394366,56,255,0.07304526748971193,7.0,1.0,3888,3.589726256254237
easy_4,bfs,Breadth-First Search,7.0,0.23235630989074707,302,906,14.0,1.5036382090519542,0.023178807947019868,60,271,0.07767489711934156,7.0,1.0,3888,3.589726256254237
easy_6,gbfs_ff,Greedy Best-First (FF),7.0,0.2963845729827881,366,1098,14.0,1.5244240501210085,0.01912568306010929,73,329,0.0003490447998046875,7.0,1.0,1048576,6.020599913279624
easy_6,gbfs_hadd,Greedy Best-First (hAdd),7.0,0.304507573445638,374,1122,14.0,1.5267802837921662,0.01871657754010695,74,336,0.0003566741943359375,7.0,1.0,1048576,6.020599913279624
easy_6,gbfs_hmax,Greedy Best-First (hMax),7.0,0.29378271102905273,363,1089,14.0,1.523528115587241,0.01928374655647383,72,326,0.00034618377685546875,7.0,1.0,1048576,6.020599913279624
easy_6,astar_ff,A* (FF),7.0,0.28891563415527344,358,1074,14.0,1.522019498493835,0.019553072625698324,71,322,0.0003414154052734375,7.0,1.0,1048576,6.020599913279624
easy_6,astar_hadd,A* (hAdd),7.0,0.29163265228271484,361,1083,14.0,1.5229269982187534,0.019390581717451522,72,324,0.00034427642822265625,7.0,1.0,1048576,6.020599913279624
easy_6,bfs,Breadth-First Search,7.0,0.2932792504628499,363,1089,14.0,1.523528115587241,0.01928374655647383,72,326,0.00034618377685546875,7.0,1.0,1048576,6.020599913279624
medium_8,gbfs_ff,Greedy Best-First (FF),6.0,0.45821531613667804,518,1554,12.0,1.683426450450094,0.011583011583011582,103,466,7.53789208829403e-09,6.0,1.0,68719476736,10.837079843903323
medium_8,gbfs_hadd,Greedy Best-First (hAdd),6.0,0.4568934440612793,516,1548,12.0,1.682883846570989,0.011627906976744186,103,464,7.508788257837296e-09,6.0,1.0,68719476736,10.837079843903323
medium_8,gbfs_hmax,Greedy Best-First (hMax),6.0,0.4533805052439372,513,1539,12.0,1.6820663150769761,0.011695906432748537,102,461,7.465132512152195e-09,6.0,1.0,68719476736,10.837079843903323
medium_8,astar_ff,A* (FF),6.0,0.5067121982574463,566,1698,12.0,1.6959044090343316,0.01060070671378092,113,509,8.236384019255638e-09,6.0,1.0,68719476736,10.837079843903323
medium_8,astar_hadd,A* (hAdd),6.0,0.4624623457590739,522,1566,12.0,1.6845059212397318,0.011494252873563218,104,469,7.596099749207497e-09,6.0,1.0,68719476736,10.837079843903323
medium_8,bfs,Breadth-First Search,6.0,0.46382935841878253,523,1569,12.0,1.6847746039786893,0.011472275334608031,104,470,7.610651664435863e-09,6.0,1.0,68719476736,10.837079843903323
medium_10,gbfs_ff,Greedy Best-First (FF),6.0,0.7005079587300619,760,2280,12.0,1.7380721445972833,0.007894736842105263,152,684,2.96875e-12,6.0,1.0,256000000000000,14.40823996531185
medium_10,gbfs_hadd,Greedy Best-First (hAdd),6.0,0.6945767402648926,754,2262,12.0,1.7369245175404415,0.007957559681697613,150,678,2.9453125e-12,6.0,1.0,256000000000000,14.40823996531185
medium_10,gbfs_hmax,Greedy Best-First (hMax),6.0,0.7030736605326334,763,2289,12.0,1.7386428470689042,0.007863695937090432,152,686,2.98046875e-12,6.0,1.0,256000000000000,14.40823996531185
medium_10,astar_ff,A* (FF),6.0,0.6845705509185791,744,2232,12.0,1.7349930707198313,0.008064516129032258,148,669,2.90625e-12,6.0,1.0,256000000000000,14.40823996531185
