problem,heuristic,robots,docks,containers,piles,success_rate,avg_solve_time,std_solve_time,avg_plan_length,std_plan_length
easy_4,gbfs_ff,1,3,4,3,1.0,0.22225173314412436,0.013659457197117817,7,0.0
easy_4,gbfs_hadd,1,3,4,3,1.0,0.21590129534403482,0.0012344123794129417,7,0.0
easy_4,gbfs_hmax,1,3,4,3,1.0,0.21707765261332193,0.004153258260797579,7,0.0
easy_4,astar_ff,1,3,4,3,1.0,0.21503456433614096,0.001922043642675327,7,0.0
easy_4,astar_hadd,1,3,4,3,1.0,0.21434410413106283,0.0001688194353917274,7,0.0
easy_4,bfs,1,3,4,3,1.0,0.23235630989074707,0.029111028380268245,7,0.0
easy_6,gbfs_ff,1,4,6,4,1.0,0.2963845729827881,0.003020662373416873,7,0.0
easy_6,gbfs_hadd,1,4,6,4,1.0,0.304507573445638,0.014593426204343993,7,0.0
easy_6,gbfs_hmax,1,4,6,4,1.0,0.29378271102905273,0.0005202924369323755,7,0.0
easy_6,astar_ff,1,4,6,4,1.0,0.28891563415527344,0.004259171136582158,7,0.0
easy_6,astar_hadd,1,4,6,4,1.0,0.29163265228271484,0.009544065278243617,7,0.0
easy_6,bfs,1,4,6,4,1.0,0.2932792504628499,0.005100940467444387,7,0.0
medium_8,gbfs_ff,2,4,8,4,1.0,0.45821531613667804,0.004006909514718234,6,0.0
medium_8,gbfs_hadd,2,4,8,4,1.0,0.4568934440612793,0.005893534419385937,6,0.0
medium_8,gbfs_hmax,2,4,8,4,1.0,0.4533805052439372,0.005869531168421972,6,0.0
medium_8,astar_ff,2,4,8,4,1.0,0.5067121982574463,0.03093337047216053,6,0.0
medium_8,astar_hadd,2,4,8,4,1.0,0.4624623457590739,0.004210474620273282,6,0.0
medium_8,bfs,2,4,8,4,1.0,0.46382935841878253,0.011307590519864918,6,0.0
medium_10,gbfs_ff,2,5,10,5,1.0,0.7005079587300619,0.01288038980801125,6,0.0
medium_10,gbfs_hadd,2,5,10,5,1.0,0.6945767402648926,0.009883936619517123,6,0.0
medium_10,gbfs_hmax,2,5,10,5,1.0,0.7030736605326334,0.0283975122012066,6,0.0
medium_10,astar_ff,2,5,10,5,1.0,0.6845705509185791,0.002200252377344935,6,0.0
medium_10,astar_hadd,2,5,10,5,1.0,0.6952415307362875,0.010265836847736244,6,0.0
medium_10,bfs,2,5,10,5,1.0,0.6883750756581625,0.0027542547495691405,6,0.0
hard_14,gbfs_ff,3,6,14,6,1.0,1.724382718404134,0.019297831530963025,16,0.0
hard_14,gbfs_hadd,3,6,14,6,1.0,1.7480162779490154,0.043131984740087025,16,0.0
hard_14,gbfs_hmax,3,6,14,6,1.0,1.7215650081634521,0.000658342602393407,16,0.0
hard_14,astar_ff,3,6,14,6,1.0,1.7296892801920574,0.028311771795385778,16,0.0
hard_14,astar_hadd,3,6,14,6,1.0,1.7101035912831624,0.008010889129704133,16,0.0
hard_14,bfs,3,6,14,6,1.0,1.7216339111328125,0.02865106104119282,16,0.0
